X,Y,OBJECTID,NonAssetID,Owner,MaintResp,LocationID,ImagePath,BikeParkType,NumberRacks,NumberSpaces,InStreet
-13651207.5662,5707273.8724,286,0012-0000356,PDXTRANS,PDXTRANS,BF22916,,BSHARE,5,5,N
-13648181.5589,5707306.6404,287,0012-0000357,PDXTRANS,PDXTRANS,BF17509,,BSHARE,5,5,Y
-13654517.3142,5711149.5071,288,0012-0000358,PDXTRANS,PDXTRANS,BF17284,,BSHARE,9,9,N
-13648072.7076,5704778.6323,289,0012-0000359,PDXTRANS,PDXTRANS,BF20460,,BSHARE,6,6,N
-13645705.5229,5708696.6066,290,0012-0000360,PDXTRANS,PDXTRANS,BF19641,,BSHARE,6,6,N
-13653887.0822,5701623.9195,291,0012-0000361,PDXTRANS,PDXTRANS,,,CORRAL,9,18,Y
-13645755.9215,5700227.4154,292,0012-0000363,PDXTRANS,PDXTRANS,BF40361,,BSHARE,6,6,Y
-13656837.3931,5704692.7019,293,0012-0000364,PDXTRANS,PDXTRANS,BF29106,,BSHARE,5,5,
-13652033.5678,5703187.2044,294,0012-0000365,PDXTRANS,PDXTRANS,,,CORRAL,6,12,Y
-13656895.4418,5711617.5885,295,0012-0000366,PDXTRANS,PRIVATE,BF4673,,BSHARE,6,6,N
-13645595.2536,5704162.9369,296,0012-0000367,PDXTRANS,PDXTRANS,BF40605,,BSHARE,6,6,Y
-13656553.5191,5704222.3322,297,0012-0000368,PDXTRANS,PRIVATE,BF67328,,BSHARE,9,9,N
-13650844.8971,5700072.031,298,0012-0000369,PDXTRANS,PDXTRANS,BF36484,,BSHARE,9,9,N
-13662152.486,5712676.3013,299,0012-0000370,PDXTRANS,PDXTRANS,BF9045,,BSHARE,10,10,Y
-13640822.7949,5704856.2699,300,0012-0000371,PDXTRANS,PDXTRANS,BF10296,,BSHARE,6,6,N
-13653755.8685,5702492.629,301,0012-0000372,PDXTRANS,PDXTRANS,BF32901,,BSHARE,7,7,N
-13653755.9058,5702481.628,302,0012-0000373,PDXTRANS,PDXTRANS,BF32901,,BSHARE,3,3,N
-13653796.7597,5700394.8229,303,0012-0000374,PDXTRANS,PRIVATE,BF49490,,BSHARE,5,5,N
-13665009.6509,5714902.1606,304,0012-0000375,PDXTRANS,PDXTRANS,BF5523,,BSHARE,9,9,N
-13657451.9893,5713945.4446,305,0012-0000376,PDXTRANS,PDXTRANS,BF2687,,BSHARE,9,9,N
-13640859.2365,5703223.2103,306,0012-0000377,PDXTRANS,PDXTRANS,BF32681,,BSHARE,8,8,N
-13645442.0649,5700814.6625,307,0012-0000378,PDXTRANS,PDXTRANS,BF54255,,BSHARE,7,7,Y
-13641092.6483,5708815.5456,308,0012-0000379,PDXTRANS,PDXTRANS,BF25450,,BSHARE,9,9,Y
-13652943.1014,5709977.6373,309,0012-0000380,PDXTRANS,PDXTRANS,BF17618,,BSHARE,9,9,Y
-13645545.9385,5707650.7567,310,0012-0000381,PDXTRANS,PDXTRANS,BF25732,,BSHARE,9,9,Y
-13650827.1688,5702739.0341,311,0012-0000382,PDXTRANS,PDXTRANS,,,CORRAL,6,12,Y
-13654498.2714,5706274.8124,312,0012-0000383,PDXTRANS,PDXTRANS,,,CORRAL,6,12,Y
-13662845.3196,5715470.2226,313,0012-0000384,PDXTRANS,PRIVATE,BF6090,,BSHARE,9,9,Y
-13641659.8206,5701228.4611,314,0012-0000385,PDXTRANS,PDXTRANS,BF44352,,BSHARE,8,,N
-13664012.2638,5713960.7316,315,0012-0000386,PDXTRANS,PDXTRANS,BF9054,,BSHARE,7,,Y
-13645956.4875,5704796.2985,316,0012-0000387,PDXTRANS,PDXTRANS,BF20351,,BSHARE,6,,N
-13652179.2359,5701296.0722,317,0012-0000388,PDXTRANS,PDXTRANS,,,CORRAL,3,6,Y
-13652191.8303,5703203.0356,318,0012-0000389,PDXTRANS,PDXTRANS,,,CORRAL,6,12,Y
-13644286.4418,5698972.364,319,0012-0000390,PDXTRANS,PRIVATE,BF68708,,BSHARE,9,,Y
-13660668.028,5714670.0791,320,0012-0000391,PDXTRANS,PDXTRANS,BF70119,,BSHARE,9,9,N
-13663146.0392,5714629.4466,321,0012-0000392,PDXTRANS,PDXTRANS,BF1831,,BSHARE,9,9,N
