X,Y,OBJECTID,NonAssetID,Owner,MaintResp,LocationID,ImagePath,BikeParkType,NumberRacks,NumberSpaces,InStreet
-13656037.1366,5705175.1943,103,0012-0000142,PDXTRANS,PRIVATE,BF70514,,BSHARE,9,9,Y
-13655843.6456,5704625.9194,104,0012-0000143,PDXTRANS,PRIVATE,BF28039,,BSHARE,18,18,Y
-13655607.0833,5704198.5075,105,0012-0000145,PDXTRANS,PRIVATE,BF63984,,BSHARE,18,18,N
-13655845.736,5704009.9281,106,0012-0000146,PDXTRANS,PRIVATE,BF55704,,BSHARE,18,18,Y
-13655925.9222,5704149.1675,107,0012-0000147,PDXTRANS,PRIVATE,BF56168,,BSHARE,18,18,Y
-13656270.6939,5703958.2964,108,0012-0000148,PDXTRANS,PRIVATE,BF57230,,BSHARE,18,18,N
-13656182.877,5703438.8857,109,0012-0000149,PDXTRANS,PRIVATE,BF56175,,BSHARE,18,18,N
-13656383.8933,5703597.674,110,0012-0000150,PDXTRANS,PRIVATE,BF57199,,BSHARE,20,20,N
-13656589.4876,5703646.1388,111,0012-0000151,PDXTRANS,PRIVATE,BF63815,,BSHARE,18,18,Y
-13656800.7054,5704027.4351,112,0012-0000153,PDXTRANS,PRIVATE,BF54591,,BSHARE,18,18,N
-13657120.3785,5704198.9014,113,0012-0000154,PDXTRANS,PRIVATE,BF54823,,BSHARE,18,18,N
-13656884.1304,5704350.8566,114,0012-0000155,PDXTRANS,PRIVATE,BF28827,,BSHARE,18,18,Y
-13656802.057,5704550.3186,115,0012-0000156,PDXTRANS,PRIVATE,BF27204,,BSHARE,16,16,N
-13658153.325,5704398.1365,116,0012-0000159,PDXTRANS,PRIVATE,BF27713,,BSHARE,18,18,Y
-13658527.3585,5704534.4534,117,0012-0000161,PDXTRANS,PRIVATE,BF29056,,BSHARE,18,18,Y
-13658250.1798,5704768.4775,118,0012-0000162,PDXTRANS,PRIVATE,BF29270,,BSHARE,18,18,Y
-13658296.1713,5705075.5338,119,0012-0000163,PDXTRANS,PRIVATE,BF27721,,BSHARE,18,18,Y
-13658774.6958,5705208.0988,120,0012-0000164,PDXTRANS,PRIVATE,BF29665,,BSHARE,18,18,Y
-13658527.9411,5705297.2914,121,0012-0000165,PDXTRANS,PRIVATE,BF27781,,BSHARE,18,18,Y
-13658752.1804,5705701.4993,122,0012-0000166,PDXTRANS,PRIVATE,BF27872,,BSHARE,18,18,Y
-13657845.8574,5705137.2587,123,0012-0000167,PDXTRANS,PRIVATE,BF27612,,BSHARE,15,15,Y
-13655737.0906,5700455.3648,124,0012-0000168,PDXTRANS,PRIVATE,BF61358,,BSHARE,18,18,N
-13655786.1923,5700952.0821,125,0012-0000169,PDXTRANS,PRIVATE,BF71375,,BSHARE,8,8,N
-13655773.1506,5701018.792,126,0012-0000170,PDXTRANS,PRIVATE,BF71374,,BSHARE,12,12,N
-13654822.8256,5701570.7508,127,0012-0000171,PDXTRANS,PRIVATE,BF71366,,BSHARE,18,18,N
-13653708.6214,5701396.4987,128,0012-0000172,PDXTRANS,PRIVATE,BF44559,,BSHARE,18,18,Y
-13653729.9716,5701022.9413,129,0012-0000173,PDXTRANS,PRIVATE,BF45272,,BSHARE,18,18,N
-13652763.202,5701116.7266,130,0012-0000174,PDXTRANS,PRIVATE,BF43748,,BSHARE,18,18,Y
-13652159.8594,5701152.6361,131,0012-0000175,PDXTRANS,PRIVATE,BF43659,,BSHARE,18,18,Y
-13651613.0124,5701317.1218,132,0012-0000176,PDXTRANS,PRIVATE,BF35965,,BSHARE,18,18,Y
-13651069.0467,5701369.6812,133,0012-0000177,PDXTRANS,PRIVATE,BF36394,,BSHARE,18,18,Y
-13651059.3974,5702467.0205,134,0012-0000180,PDXTRANS,PRIVATE,BF36340,,BSHARE,18,18,Y
-13650293.373,5702962.6651,135,0012-0000182,PDXTRANS,PRIVATE,BF53206,,BSHARE,18,18,Y
-13651182.5232,5703203.6161,136,0012-0000183,PDXTRANS,PRIVATE,BF42443,,BSHARE,18,18,Y
-13651782.3309,5703165.5528,137,0012-0000184,PDXTRANS,PRIVATE,BF35811,,BSHARE,18,18,Y
-13651773.4514,5703676.7612,138,0012-0000185,PDXTRANS,PRIVATE,BF35858,,BSHARE,18,18,Y
-13652603.4392,5704246.0996,139,0012-0000187,PDXTRANS,PRIVATE,BF12410,,BSHARE,16,16,Y
-13652405.2911,5704800.1698,140,0012-0000188,PDXTRANS,PRIVATE,BF20306,,BSHARE,18,18,Y
-13653323.998,5704460.2908,141,0012-0000190,PDXTRANS,PRIVATE,BF68777,,BSHARE,18,18,N
-13653856.5709,5705397.2952,142,0012-0000191,PDXTRANS,PRIVATE,BF10147,,BSHARE,18,18,Y
-13654180.3167,5705579.8996,143,0012-0000192,PDXTRANS,PRIVATE,BF23879,,BSHARE,14,14,Y
-13654440.4942,5705573.8149,144,0012-0000193,PDXTRANS,PRIVATE,BF23878,,BSHARE,18,18,N
-13654692.7293,5705342.2419,145,0012-0000194,PDXTRANS,PRIVATE,BF21505,,BSHARE,18,18,N
-13655129.0907,5705488.5948,146,0012-0000195,PDXTRANS,PRIVATE,BF6580,,BSHARE,18,18,N
-13653754.2681,5706141.3672,147,0012-0000196,PDXTRANS,PRIVATE,BF18267,,BSHARE,18,18,Y
-13653396.9341,5706179.2063,148,0012-0000197,PDXTRANS,PRIVATE,BF11324,,BSHARE,18,18,Y
-13654613.8254,5707216.0394,149,0012-0000199,PDXTRANS,PRIVATE,BF23381,,BSHARE,18,18,N
-13655219.5536,5707684.5424,150,0012-0000200,PDXTRANS,PRIVATE,BF6575,,BSHARE,18,18,Y
-13655202.8556,5708176.5447,151,0012-0000201,PDXTRANS,PRIVATE,BF9189,,BSHARE,18,18,N
-13656187.6918,5708547.1428,152,0012-0000202,PDXTRANS,PRIVATE,BF6177,,BSHARE,18,18,Y
-13655225.7652,5708648.3107,153,0012-0000203,PDXTRANS,PRIVATE,BF3000,,BSHARE,18,18,Y
-13656184.1229,5709241.8246,154,0012-0000204,PDXTRANS,PRIVATE,BF6180,,BSHARE,12,12,Y
-13654483.5574,5709552.5772,155,0012-0000206,PDXTRANS,PRIVATE,BF20553,,BSHARE,18,18,Y
-13655382.5276,5710018.1958,156,0012-0000207,PDXTRANS,PRIVATE,BF8586,,BSHARE,18,18,Y
-13656093.6381,5710566.7957,157,0012-0000208,PDXTRANS,PRIVATE,BF5153,,BSHARE,18,18,N
-13656888.9385,5709372.1112,158,0012-0000210,PDXTRANS,PRIVATE,BF7288,,BSHARE,18,18,N
-13652886.9782,5703191.2829,159,0012-0000211,PDXTRANS,PRIVATE,BF42488,,BSHARE,18,18,Y
-13652809.9423,5702526.6457,160,0012-0000212,PDXTRANS,PRIVATE,BF46288,,BSHARE,13,13,N
-13653706.2426,5702503.3366,161,0012-0000213,PDXTRANS,PRIVATE,BF47687,,BSHARE,17,17,N
-13654076.0927,5703179.0652,162,0012-0000214,PDXTRANS,PRIVATE,BF41770,,BSHARE,18,18,Y
-13654445.1899,5703423.4026,163,0012-0000215,PDXTRANS,PRIVATE,BF41990,,BSHARE,18,18,N
-13655090.5348,5703009.3787,164,0012-0000216,PDXTRANS,PRIVATE,BF53924,,BSHARE,20,20,Y
-13656002.3005,5703058.147,165,0012-0000217,PDXTRANS,PRIVATE,BF65511,,BSHARE,18,18,Y
-13657038.2217,5703111.8345,166,0012-0000218,PDXTRANS,PRIVATE,BF64520,,BSHARE,18,18,Y
-13656551.2103,5702979.1876,167,0012-0000219,PDXTRANS,PRIVATE,BF63151,,BSHARE,15,15,N
-13656588.6227,5703116.6586,168,0012-0000220,PDXTRANS,PRIVATE,BF57238,,BSHARE,21,21,N
-13656569.42,5702547.5971,169,0012-0000221,PDXTRANS,PRIVATE,BF63326,,BSHARE,18,18,Y
-13656919.8274,5702413.5728,170,0012-0000222,PDXTRANS,PRIVATE,BF63710,,BSHARE,16,16,N
-13657102.3859,5702458.7932,171,0012-0000223,PDXTRANS,PRIVATE,BF59190,,BSHARE,23,23,N
-13657460.4803,5702975.2496,172,0012-0000224,PDXTRANS,PRIVATE,BF54750,,BSHARE,18,18,Y
-13657189.1518,5703064.5404,173,0012-0000225,PDXTRANS,PRIVATE,BF54640,,BSHARE,18,18,N
-13656816.1018,5703597.4778,174,0012-0000227,PDXTRANS,PRIVATE,BF67246,,BSHARE,20,20,N
-13656797.5205,5702072.8707,175,0012-0000228,PDXTRANS,PRIVATE,BF71216,,BSHARE,18,18,N
-13656429.529,5702129.6412,176,0012-0000229,PDXTRANS,PRIVATE,BF61694,,BSHARE,18,18,N
-13655166.1368,5702407.9366,177,0012-0000230,PDXTRANS,PRIVATE,BF43523,,BSHARE,16,16,N
-13658061.6849,5712212.6214,178,0012-0000277,PDXTRANS,PDXTRANS,BF2639,,OASIS,9,18,N
-13656324.4628,5698238.3278,179,0012-0000234,PDXTRANS,PDXTRANS,BF60257,,CORRAL,6,12,Y
-13656885.6597,5711460.5039,180,0012-0000235,PDXTRANS,PDXTRANS,BF4059,,CORRAL,6,12,Y
-13653535.4864,5696848.0219,181,0012-0000236,PDXTRANS,PDXTRANS,BF68572,,CORRAL,6,12,Y
-13661066.3585,5713956.5293,182,0012-0000237,PDXTRANS,PDXTRANS,BF9331,,CORRAL,12,24,Y
-13653188.0902,5702547.5368,183,0012-0000239,PDXTRANS,PDXTRANS,BF34664,,CORRAL,6,12,Y
-13656243.7712,5707949.1378,184,0012-0000240,PDXTRANS,PDXTRANS,BF2372,,CORRAL,6,12,Y
-13657149.9206,5704433.3907,185,0012-0000241,PDXTRANS,PDXTRANS,BF27343,,CORRAL,6,12,Y
-13652510.5447,5702526.1218,186,0012-0000242,PDXTRANS,PDXTRANS,BF35375,,CORRAL,6,12,Y
-13654576.6632,5708443.8342,187,0012-0000243,PDXTRANS,PDXTRANS,BF17892,,CORRAL,6,12,Y
-13656794.0273,5709666.5325,188,0012-0000244,PDXTRANS,PDXTRANS,BF5832,,CORRAL,6,12,Y
-13651629.8329,5704776.9337,189,0012-0000245,PDXTRANS,PDXTRANS,BF20434,,CORRAL,6,12,Y
-13653144.067,5706138.5694,190,0012-0000246,PDXTRANS,PDXTRANS,BF18271,,CORRAL,6,12,Y
-13653010.8721,5711998.3689,191,0012-0000247,PDXTRANS,PDXTRANS,BF19192,,CORRAL,6,12,Y
-13654058.2938,5703764.7223,192,0012-0000248,PDXTRANS,PDXTRANS,BF50122,,CORRAL,9,18,Y
-13653535.192,5696823.9259,193,0012-0000249,PDXTRANS,PDXTRANS,BF68573,,CORRAL,6,12,Y
-13653920.6127,5709983.2402,194,0012-0000250,PDXTRANS,PDXTRANS,BF17609,,CORRAL,9,18,Y
-13653412.0794,5709432.279,195,0012-0000251,PDXTRANS,PDXTRANS,BF11107,,CORRAL,6,12,Y
-13651807.7104,5704777.3288,196,0012-0000252,PDXTRANS,PDXTRANS,BF20433,,CORRAL,6,12,Y
-13654558.7583,5703553.1207,197,0012-0000254,PDXTRANS,PDXTRANS,BF53785,,CORRAL,6,12,Y
-13654413.782,5703407.1047,198,0012-0000257,PDXTRANS,PDXTRANS,BF39547,,CORRAL,12,24,Y
-13651169.0335,5701351.3048,199,0012-0000258,PDXTRANS,PDXTRANS,BF44174,,CORRAL,6,12,Y
-13657318.7666,5713798.6823,200,0012-0000259,PDXTRANS,PDXTRANS,BF5940,,CORRAL,6,12,Y
-13653994.0021,5703955.4849,201,0012-0000260,PDXTRANS,PDXTRANS,BF51956,,CORRAL,9,18,Y
-13650012.0504,5702561.6736,202,0012-0000261,PDXTRANS,PDXTRANS,BF37089,,CORRAL,9,18,Y
-13655840.0475,5703966.093,203,0012-0000262,PDXTRANS,PDXTRANS,BF65046,,CORRAL,9,18,Y
-13656371.2084,5702578.236,204,0012-0000263,PDXTRANS,PDXTRANS,BF59944,,CORRAL,6,12,Y
